ID,Shape,Polymer,Polymer_name,Degradation,shoot_mg,root_mg,totalmass_mg,WSA,CO2_ppm,SRSA,SRL,RTD,diameter_mm,WaterAbsorb,UV_Incubation_Days,Soil_Incubation_Days,Total_Incubation_Days,Degradation_Percent
PU-B2-7,Foam,Foam_PU,Polyurethane,Degraded,91.6,104.9,196.5,37.3,1324.660132,21.531132,377.5822642,101.9231,0.1815,-,14,85,99,31.4
PS-B2-1,Foam,Foam_PS,Polystyrene,Degraded,76.1,59.8,135.9,40.65,2037.73278,13.57951917,173.2510717,121.6934333,0.247816667,65.58,14,85,99,55.91
PS-B2-2,Foam,Foam_PS,Polystyrene,Degraded,77.1,61.7,138.8,45.48,1571.082399,15.903519,207.7816667,103.8462,0.2436,47.76,14,85,99,42.78
PS-B2-3,Foam,Foam_PS,Polystyrene,Degraded,66.6,64.8,131.4,61.25,1566.292789,13.860638,172.9131915,111.9048,0.2552,52.95,14,85,99,43.27
PS-B2-4,Foam,Foam_PS,Polystyrene,Degraded,67.1,62.4,129.5,38.85,1691.743181,12.031923,137.8192308,130.0,0.2584,-,14,85,99,40.11
PS-B2-5,Foam,Foam_PS,Polystyrene,Degraded,88.3,97.1,185.4,43.89,1183.960503,16.214304,216.9324051,103.9474,0.2379,-,14,85,99,28.07
PS-B2-6,Foam,Foam_PS,Polystyrene,Degraded,89.3,73.5,162.8,49.2,1449.355686,11.982564,158.5274359,139.2857,0.2406,-,14,85,99,34.36
PS-B2-7,Foam,Foam_PS,Polystyrene,Degraded,69.1,35.6,104.7,47.7,2543.177774,11.484167,145.5325,141.1765,0.2512,-,14,85,99,60.29
PP-C2-1,Fiber,Fiber_PP,Polypropylene,Degraded,74.7,55.3,130.0,59.48,1960.086906,22.818571,347.6033929,83.5821,0.209,3,14,85,99,46.82
PP-C2-2,Fiber,Fiber_PP,Polypropylene,Degraded,84.2,64.8,149.0,42.95,1385.093906,19.706354,281.4079167,91.4286,0.2229,2,14,85,99,33.07
PP-C2-3,Fiber,Fiber_PP,Polypropylene,Degraded,83.1,62.5,145.6,50.34,1891.15259,22.413333,306.0916667,76.0563,0.2331,3,14,85,99,45.18
PP-C2-4,Fiber,Fiber_PP,Polypropylene,Degraded,67.7,58.5,126.2,38.52,1937.039564,16.8172,224.3084,100.0,0.2386,2,14,85,99,46.15
